Amnat Charoen,84.28571429,26.52384971,84.28571429,24.88571429,80,25.30219504,,84.28571429,22.53220735
Bangkok Metropolis,5.714285714,663.393,8.571428571,934.9,2.857142857,710.3700627,,5.714285714,703.0432355
Bueng Kan,90,22.70814871,84.28571429,26.71428571,88.57142857,27.20569089,,90,22.3243931
Mae Hong Son,77.14285714,50.09235114,60,82.7,71.42857143,45.75248375,,70,49.80883448
Phetchabun,80,45.463831,67.14285714,65.58571429,70,49.14457119,,77.14285714,47.61080595
Ranong,100,10.24138571,95.71428571,14.68571429,100,10.50457623,,100,10.97793933
Sukhothai,88.57142857,25.72865429,70,36.05714286,90,23.19669974,,90,26.27474872
Udon Thani,82.85714286,42.09866186,81.42857143,43.78571429,72.85714286,43.85851682,,85.71428571,39.22472485
Uttaradit,90,18.98625143,88.57142857,18.08571429,95.71428571,16.50686574,,94.28571429,15.82347105
Yala,87.14285714,30.28471857,70,45.02857143,87.14285714,35.39501984,,82.85714286,33.58935109
